tick,deer_index,chamois_index,bear_index,broadleaf_index,nontarget_index,biodiversity_index,income_index,human_pop_indexed,emigration_rate,pct_accepted,ecosystem_status,hunt_pressure,predator_damage,agreement_active,run_id,param_simulation-years
1,103.33333333333331,102.66666666666666,100.33333333333334,101.0,97.0,102.0,99.395,95.13333333333333,8.12,73.42342342342343,1.0,0.0,0.01999999999999997,1.0,0,31.75551375900821
2,106.6514814814815,105.3131851851852,100.66220370370371,101.9898,94.1773,104.00765211640213,101.78506694444444,88.75133333333332,8.24,84.0,1.0,0.0,0.04006666666666647,1.0,0,31.75551375900821
3,109.94642106771377,107.93502063834659,100.98663456869679,102.96911013919198,91.516490849413,106.01618813852762,104.17026742591399,84.97217999999998,8.36,89.78494623655914,1.0,0.0,0.060199107407407575,1.0,0,31.75551375900821
4,113.21032485706743,110.52779898324727,101.30665053315214,103.93765591479635,89.0039104201958,108.01918142178776,106.55066766791671,79.82190179999998,7.0,94.64285714285714,1.0,0.0,0.08039643432114663,1.0,0,31.75551375900821
5,116.43563579050648,113.08733547288175,101.6222773034408,104.89517832882771,86.62740159916991,110.01056011394803,108.9263335083651,78.62012081799998,7.0,95.06172839506173,1.0,0.0,0.1006577644277775,1.0,0,31.75551375900821
6,119.6151359591308,115.60966045313596,101.93354164212005,105.84143399136524,84.37610958682275,111.9846220211704,111.29733038373331,76.7396553595133,7.0,98.05194805194806,1.0,0.0,0.12098221988846486,1.0,0,31.75551375900821
7,122.7420092010788,118.09104221696099,102.24047132301146,106.77619518123649,82.2403112261205,113.93604954461891,113.66372331388814,74.84038524644177,7.0,98.63013698630137,1.0,0.0,0.14136892821688926,1.0,0,31.75551375900821
8,125.80989621015783,120.52800666601597,102.54309508674643,107.69924986519727,80.21127058894976,115.8599234120844,116.02557688758695,73.92212243223952,7.0,100.0,1.0,0.0,0.161817022481492,1.0,0,31.75551375900821
9,128.8129412839183,122.9173536023492,102.84144259681977,108.61040167684797,78.28111621010164,117.75173419833918,118.38295524863466,72.32801032322857,7.0,100.0,1.0,0.0,0.1823256414988412,1.0,0,31.75551375900821
10,131.74583009831406,125.25616954628849,103.13554439619033,109.50946985667215,76.4427362635718,119.60739087673254,120.7359220826918,71.3846237597942,5.0,100.0,1.0,0.0,0.20289393001820516,1.0,0,31.75551375900821
11,134.60381816415497,127.54183704926297,103.42543186446437,110.39628915471444,74.68968868533321,121.42322587392609,123.08454060472484,70.43180333072547,5.0,100.0,1.0,0.0,0.22352103889744254,1.0,0,31.75551375900821
12,137.38274988537725,129.77204053958516,103.71113717569517,111.27070969752964,73.0161238065596,123.19599630893411,125.42887354708941,69.46945469736605,5.0,100.0,1.0,0.0,0.24420612527033547,1.0,0,31.75551375900821
13,140.0790683897953,131.94476880335768,103.99269325682977,112.13259682113713,71.41671750583916,124.92288128519104,127.76898314823697,67.49748257767305,5.0,100.0,1.0,0.0,0.26494835270547434,1.0,0,31.75551375900821
14,142.6898165300649,134.05831426003533,104.27013374683152,112.98183087180091,69.8866132440465,126.60147526844167,130.1049311420345,66.83912407011645,5.0,100.0,1.0,0.0,0.28574689135684045,1.0,0,31.75551375900821
15,145.2126296486621,136.11126924155664,104.54349295650445,113.81830697652609,68.42137163082963,128.22977772234754,132.43677874768693,65.84084864415095,5.0,100.0,1.0,0.0,0.3066009181062066,1.0,0,31.75551375900821
16,147.6457208605926,138.1025195245342,104.81280582904344,114.64193478522134,67.0169264020764,129.8061792869469,134.76458666025127,64.16592379725913,5.0,100.0,1.0,0.0,0.32750961669750817,1.0,0,31.75551375900821
17,149.98785972840463,140.03123539633145,105.07810790133152,115.45263818651816,65.669545874762,131.32944487239217,137.0884150417313,64.47424970189837,5.0,100.0,1.0,0.0,0.3484721778633172,1.0,0,31.75551375900821
18,155.98834526066247,145.63029784661654,108.75310586771676,118.69065899253744,66.58115407803149,136.18893239923077,139.35711845371557,63.11899219891737,5.0,100.0,2.0,0.0,0.36948779944358284,1.0,0,31.75551375900821
19,161.7296859681235,151.04553878429724,112.42341059983201,121.84654907250317,67.47203423883364,140.86878202289978,141.57076729471808,60.41684878757321,5.0,100.0,2.0,0.0,0.39123842061712555,1.0,0,31.75551375900821
20,167.1871195785128,156.2531706572506,116.08004159152077,124.91331131390835,68.34177447839585,145.35022881636485,143.72956667084526,57.68768394211561,5.0,100.0,2.0,0.0,0.41372310273709345,1.0,0,31.75551375900821
21,172.34208968635573,161.23349275932623,119.71411915096417,127.8848753144886,67.13978099159301,149.37448193220746,145.83385488358078,55.597894114870094,5.0,100.0,2.0,0.0,0.4369391110553974,1.0,0,31.75551375900821
22,177.18218264740648,165.97105736916626,123.31695071683457,130.75612173925666,66.00331400604539,153.18536444761838,147.88410062282827,54.82053972268546,5.0,100.0,2.0,0.0,0.4608819348855892,1.0,0,31.75551375900821
23,181.70083077965586,170.454677737655,126.88011382231359,133.52288796086611,64.92733968328695,156.77558949607285,149.88089891549356,54.03541178657899,5.0,100.0,2.0,0.0,0.4855453250289574,1.0,0,31.75551375900821
24,185.89682812333876,174.67729370747315,130.39553402868776,136.1819562735009,63.90732878586077,160.141595068945,151.82496590506324,53.909099237778115,3.0,92.0,2.0,0.0,0.5109213477934196,1.0,0,31.75551375900821
25,189.7737111214364,178.63571754681178,133.855556312487,138.73102642886602,62.93919469167872,163.28318133629867,153.71713256037594,52.78152356348923,3.0,84.44444444444444,2.0,0.0,0.5370004545991567,1.0,0,31.75551375900821
26,193.33905702518084,182.3302866852289,137.25300860245267,140.74367920128395,62.019240359871915,166.15249100872836,156.65833743133916,51.976005465790784,3.0,0.0,2.0,0.0,0.5637715658616539,0.0,0,31.75551375900821
27,196.60374868346327,185.7644514992452,140.58125641448268,142.67222345132825,61.14411277092079,168.80865910956973,159.54961858512192,50.16243218711536,3.0,0.0,2.0,0.0,0.5912221675821453,0.0,0,31.75551375900821
28,199.5812470607373,188.94432544375448,143.83424781180497,144.51713375510295,60.310763636740504,171.25895662464566,162.39210486794485,49.66405650898651,3.0,0.0,2.0,0.0,0.6193384188650414,0.0,0,31.75551375900821
29,202.28690381292225,191.87822218386978,147.00654821076876,146.27925233844405,59.51641539372958,173.51218412332258,165.1870066447833,49.49403040740972,3.0,0.0,2.0,0.0,0.6481052684274026,0.0,0,31.75551375900821
30,204.73733682822308,194.5762005498742,150.09336484657422,147.95975213625746,58.75853166587874,175.57825930397698,167.9356061720847,49.65563737815048,3.0,0.0,2.0,0.0,0.6775065780695563,0.0,0,31.75551375900821
1,103.33333333333331,102.66666666666666,100.33333333333334,101.0,97.0,102.0,99.395,94.13333333333333,8.12,74.39613526570048,1.0,0.0,0.019999999999999997,1.0,1,33.43439167964553
2,106.6514814814815,105.3131851851852,100.66220370370371,101.9898,94.1773,104.00765211640213,101.78506694444444,87.408,8.24,80.43478260869566,1.0,0.0,0.04006666666666649,1.0,1,33.43439167964553
3,109.94642106771377,107.93502063834659,100.98663456869679,102.96911013919198,91.516490849413,106.01618813852762,104.17026742591399,81.61541333333332,8.36,85.36585365853658,1.0,0.0,0.06019910740740749,1.0,1,33.43439167964553
4,113.21032485706743,110.52779898324727,101.30665053315214,103.93765591479635,89.0039104201958,108.01918142178776,106.55066766791671,76.76490079999999,7.0,89.1156462585034,1.0,0.0,0.08039643432114664,1.0,1,33.43439167964553
5,116.43563579050648,113.08733547288175,101.6222773034408,104.89517832882771,86.62740159916991,110.01056011394803,108.9263335083651,73.532549808,7.0,93.33333333333333,1.0,0.0,0.10065776442777745,1.0,1,33.43439167964553
6,119.6151359591308,115.60966045313596,101.93354164212005,105.84143399136524,84.37610958682275,111.9846220211704,111.29733038373331,71.93454197274666,7.0,96.875,1.0,0.0,0.12098221988846493,1.0,1,33.43439167964553
7,122.7420092010788,118.09104221696099,102.24047132301146,106.77619518123649,82.2403112261205,113.93604954461891,113.66372331388814,70.98722072580745,7.0,98.3739837398374,1.0,0.0,0.14136892821688948,1.0,1,33.43439167964553
8,125.80989621015783,120.52800666601597,102.54309508674643,107.69924986519727,80.21127058894976,115.8599234120844,116.02557688758695,69.03042626639888,7.0,100.0,1.0,0.0,0.16181702248149174,1.0,1,33.43439167964553
9,128.8129412839183,122.9173536023492,102.84144259681977,108.61040167684797,78.28111621010164,117.75173419833918,118.38295524863466,69.38739719572953,7.0,100.0,1.0,0.0,0.18232564149884103,1.0,1,33.43439167964553
10,131.74583009831406,125.25616954628849,103.13554439619033,109.50946985667215,76.4427362635718,119.60739087673254,120.7359220826918,69.41460450102016,5.0,100.0,1.0,0.0,0.20289393001820505,1.0,1,33.43439167964553
11,134.60381816415497,127.54183704926297,103.42543186446437,110.39628915471444,74.68968868533321,121.42322587392609,123.08454060472484,68.10875054603035,5.0,100.0,1.0,0.0,0.2235210388974427,1.0,1,33.43439167964553
12,137.38274988537725,129.77204053958516,103.71113717569517,111.27070969752964,73.0161238065596,123.19599630893411,125.42887354708941,67.12317138482399,5.0,100.0,1.0,0.0,0.2442061252703356,1.0,1,33.43439167964553
13,140.0790683897953,131.94476880335768,103.99269325682977,112.13259682113713,71.41671750583916,124.92288128519104,127.76898314823697,65.79440309867223,5.0,100.0,1.0,0.0,0.2649483527054744,1.0,1,33.43439167964553
14,142.6898165300649,134.05831426003533,104.27013374683152,112.98183087180091,69.8866132440465,126.60147526844167,130.1049311420345,64.78568046299229,5.0,100.0,1.0,0.0,0.28574689135684045,1.0,1,33.43439167964553
15,145.2126296486621,136.11126924155664,104.54349295650445,113.81830697652609,68.42137163082963,128.22977772234754,132.43677874768693,65.10020393428888,5.0,100.0,1.0,0.0,0.3066009181062067,1.0,1,33.43439167964553
16,147.6457208605926,138.1025195245342,104.81280582904344,114.64193478522134,67.0169264020764,129.8061792869469,134.76458666025127,63.75120597363178,5.0,100.0,1.0,0.0,0.32750961669750817,1.0,1,33.43439167964553
17,149.98785972840463,140.03123539633145,105.07810790133152,115.45263818651816,65.669545874762,131.32944487239217,137.0884150417313,63.38871803336809,5.0,100.0,1.0,0.0,0.3484721778633172,1.0,1,33.43439167964553
18,155.98834526066247,145.63029784661654,108.75310586771676,118.69065899253744,66.58115407803149,136.18893239923077,139.35711845371557,63.35593854703511,5.0,100.0,2.0,0.0,0.36948779944358284,1.0,1,33.43439167964553
19,161.7296859681235,151.04553878429724,112.42341059983201,121.84654907250317,67.47203423883364,140.86878202289978,141.57076729471808,62.32283126583879,5.0,100.0,2.0,0.0,0.39123842061712566,1.0,1,33.43439167964553
20,167.1871195785128,156.2531706572506,116.08004159152077,124.91331131390835,68.34177447839585,145.35022881636485,143.72956667084526,61.61272624516385,5.0,100.0,2.0,0.0,0.41372310273709345,1.0,1,33.43439167964553
21,172.34208968635573,161.23349275932623,119.71411915096417,127.8848753144886,67.13978099159301,149.37448193220746,145.83385488358078,60.22885350761549,5.0,100.0,2.0,0.0,0.43693911105539746,1.0,1,33.43439167964553
22,177.18218264740648,165.97105736916626,123.31695071683457,130.75612173925666,66.00331400604539,153.18536444761838,147.88410062282827,58.49780870935831,5.0,100.0,2.0,0.0,0.4608819348855892,1.0,1,33.43439167964553
23,181.70083077965586,170.454677737655,126.88011382231359,133.52288796086611,64.92733968328695,156.77558949607285,149.88089891549356,58.74945346311855,5.0,100.0,2.0,0.0,0.4855453250289575,1.0,1,33.43439167964553
24,185.89682812333876,174.67729370747315,130.39553402868776,136.1819562735009,63.90732878586077,160.141595068945,151.82496590506324,58.33694799774973,3.0,96.15384615384616,2.0,0.0,0.5109213477934197,1.0,1,33.43439167964553
25,189.7737111214364,178.63571754681178,133.855556312487,138.73102642886602,62.93919469167872,163.28318133629867,153.71713256037594,57.5869841443939,3.0,95.83333333333334,2.0,0.0,0.5370004545991566,1.0,1,33.43439167964553
26,193.33905702518084,182.3302866852289,137.25300860245267,140.74367920128395,62.019240359871915,166.15249100872836,156.65833743133916,56.829520652504506,3.0,0.0,2.0,0.0,0.5637715658616539,0.0,1,33.43439167964553
27,196.60374868346327,185.7644514992452,140.58125641448268,142.67222345132825,61.14411277092079,168.80865910956973,159.54961858512192,56.731149192362885,3.0,0.0,2.0,0.0,0.5912221675821454,0.0,1,33.43439167964553
28,199.5812470607373,188.94432544375448,143.83424781180497,144.51713375510295,60.310763636740504,171.25895662464566,162.39210486794485,55.63179401761984,3.0,0.0,2.0,0.0,0.6193384188650414,0.0,1,33.43439167964553
29,202.28690381292225,191.87822218386978,147.00654821076876,146.27925233844405,59.51641539372958,173.51218412332258,165.1870066447833,55.85477862446271,3.0,0.0,2.0,0.0,0.6481052684274028,0.0,1,33.43439167964553
30,204.73733682822308,194.5762005498742,150.09336484657422,147.95975213625746,58.75853166587874,175.57825930397698,167.9356061720847,55.41332641070734,3.0,0.0,2.0,0.0,0.6775065780695565,0.0,1,33.43439167964553
1,103.33333333333331,102.66666666666666,100.33333333333334,101.0,97.0,102.0,99.395,93.46666666666667,8.12,71.62162162162163,1.0,0.0,0.01999999999999997,1.0,2,30.376709391550598
2,106.6514814814815,105.3131851851852,100.66220370370371,101.9898,94.1773,104.00765211640213,101.78506694444444,89.06799999999998,8.24,81.06796116504854,1.0,0.0,0.040066666666666466,1.0,2,30.376709391550598
3,109.94642106771377,107.93502063834659,100.98663456869679,102.96911013919198,91.516490849413,106.01618813852762,104.17026742591399,84.62534666666664,8.36,88.42105263157895,1.0,0.0,0.06019910740740758,1.0,2,30.376709391550598
4,113.21032485706743,110.52779898324727,101.30665053315214,103.93765591479635,89.0039104201958,108.01918142178776,106.55066766791671,79.47160013333331,7.0,93.02325581395348,1.0,0.0,0.08039643432114661,1.0,2,30.376709391550598
5,116.43563579050648,113.08733547288175,101.6222773034408,104.89517832882771,86.62740159916991,110.01056011394803,108.9263335083651,78.59964946799998,7.0,96.40718562874252,1.0,0.0,0.10065776442777746,1.0,2,30.376709391550598
6,119.6151359591308,115.60966045313596,101.93354164212005,105.84143399136524,84.37610958682275,111.9846220211704,111.29733038373331,74.38564596267997,7.0,97.36842105263158,1.0,0.0,0.12098221988846487,1.0,2,30.376709391550598
7,122.7420092010788,118.09104221696099,102.24047132301146,106.77619518123649,82.2403112261205,113.93604954461891,113.66372331388814,73.12950242230679,7.0,99.31506849315068,1.0,0.0,0.14136892821688926,1.0,2,30.376709391550598
8,125.80989621015783,120.52800666601597,102.54309508674643,107.69924986519727,80.21127058894976,115.8599234120844,116.02557688758695,69.5274641131965,7.0,100.0,1.0,0.0,0.16181702248149193,1.0,2,30.376709391550598
9,128.8129412839183,122.9173536023492,102.84144259681977,108.61040167684797,78.28111621010164,117.75173419833918,118.38295524863466,69.55607208766182,7.0,100.0,1.0,0.0,0.18232564149884117,1.0,2,30.376709391550598
10,131.74583009831406,125.25616954628849,103.13554439619033,109.50946985667215,76.4427362635718,119.60739087673254,120.7359220826918,67.91829947520509,5.0,100.0,1.0,0.0,0.20289393001820513,1.0,2,30.376709391550598
11,134.60381816415497,127.54183704926297,103.42543186446437,110.39628915471444,74.68968868533321,121.42322587392609,123.08454060472484,66.59748246995714,5.0,100.0,1.0,0.0,0.2235210388974426,1.0,2,30.376709391550598
12,137.38274988537725,129.77204053958516,103.71113717569517,111.27070969752964,73.0161238065596,123.19599630893411,125.42887354708941,65.59679062799005,5.0,100.0,1.0,0.0,0.2442061252703355,1.0,2,30.376709391550598
13,140.0790683897953,131.94476880335768,103.99269325682977,112.13259682113713,71.41671750583916,124.92288128519104,127.76898314823697,65.25275853426994,5.0,100.0,1.0,0.0,0.26494835270547434,1.0,2,30.376709391550598
14,142.6898165300649,134.05831426003533,104.27013374683152,112.98183087180091,69.8866132440465,126.60147526844167,130.1049311420345,63.571952786279304,5.0,100.0,1.0,0.0,0.28574689135684045,1.0,2,30.376709391550598
